Timestamp,CPU
2025-07-30 16:11:52,0.1362
2025-07-30 16:10:52,0.1616
2025-07-30 16:09:51,0.155
2025-07-30 16:08:51,0.147
2025-07-30 16:07:51,0.1556
2025-07-30 16:06:51,0.1317
2025-07-30 16:05:51,0.1431
2025-07-30 16:04:51,0.1532
2025-07-30 16:03:51,0.1387
2025-07-30 16:02:51,0.1539
2025-07-30 16:01:51,0.1404
2025-07-30 16:00:51,0.1404
2025-07-30 15:59:51,0.1608
2025-07-30 15:58:51,0.1424
2025-07-30 15:57:51,0.1598
2025-07-30 15:56:51,0.1646
2025-07-30 15:55:51,0.1466
2025-07-30 15:54:51,0.1605
2025-07-30 15:53:51,0.1522
2025-07-30 15:52:51,0.1366
2025-07-30 15:51:51,0.1601
2025-07-30 15:50:51,0.1497
2025-07-30 15:49:51,0.1428
2025-07-30 15:48:51,0.1674
2025-07-30 15:47:51,0.1376
2025-07-30 15:46:51,0.1612
2025-07-30 15:45:51,0.1619
2025-07-30 15:44:51,0.1487
2025-07-30 15:43:51,0.1511
2025-07-30 15:42:51,0.1439
2025-07-30 15:41:51,0.1456
2025-07-30 15:40:51,0.1536
2025-07-30 15:39:51,0.1556
2025-07-30 15:38:51,0.1515
2025-07-30 15:37:51,0.1459
2025-07-30 15:36:51,0.1487
2025-07-30 15:35:51,0.1661
2025-07-30 15:34:51,0.1449
2025-07-30 15:33:51,0.1431
2025-07-30 15:32:51,0.1491
2025-07-30 15:31:51,0.1414
2025-07-30 15:30:51,0.1581
2025-07-30 15:29:51,0.1508
2025-07-30 15:28:51,0.1435
2025-07-30 15:27:51,0.1681
2025-07-30 15:26:51,0.1379
2025-07-30 15:25:51,0.1511
2025-07-30 15:24:51,0.1529
2025-07-30 15:23:51,0.1626
2025-07-30 15:22:51,0.1431
2025-07-30 15:21:51,0.1543
2025-07-30 15:20:51,0.157
2025-07-30 15:19:51,0.1418
2025-07-30 15:18:51,0.1588
2025-07-30 15:17:51,0.1518
2025-07-30 15:16:51,0.1348
2025-07-30 15:15:51,0.1723
2025-07-30 15:14:51,0.1404
2025-07-30 15:13:51,0.1459
2025-07-30 15:12:51,0.1688
2025-07-30 15:11:51,0.1425
2025-07-30 15:10:51,0.1619
2025-07-30 15:09:51,0.1494
2025-07-30 15:08:51,0.1435
2025-07-30 15:07:51,0.1647
2025-07-30 15:06:51,0.1338
2025-07-30 15:05:51,0.1418
2025-07-30 15:04:51,0.1411
2025-07-30 15:03:52,0.1626
2025-07-30 15:02:51,0.1411
2025-07-30 15:01:51,0.1584
2025-07-30 15:00:51,0.1657
2025-07-30 14:59:51,0.1456
2025-07-30 14:58:51,0.1605
2025-07-30 14:57:51,0.1383
2025-07-30 14:56:51,0.1487
2025-07-30 14:55:51,0.1713
2025-07-30 14:54:51,0.1265
2025-07-30 14:53:51,0.1643
2025-07-30 14:52:51,0.149
2025-07-30 14:51:51,0.1362
2025-07-30 14:50:51,0.1661
2025-07-30 14:49:51,0.1348
2025-07-30 14:48:51,0.1647
2025-07-30 14:47:51,0.1425
2025-07-30 14:46:51,0.148
2025-07-30 14:45:51,0.1688
2025-07-30 14:44:51,0.1435
2025-07-30 14:43:51,0.1605
2025-07-30 14:42:51,0.1442
2025-07-30 14:41:51,0.148
2025-07-30 14:40:51,0.1723
2025-07-30 14:39:51,0.1484
2025-07-30 14:38:51,0.1653
2025-07-30 14:37:51,0.1414
2025-07-30 14:36:51,0.1456
2025-07-30 14:35:51,0.1595
2025-07-30 14:34:51,0.14
2025-07-30 14:33:51,0.1702
2025-07-30 14:32:51,0.147
2025-07-30 14:31:51,0.1442
2025-07-30 14:30:51,0.1612
2025-07-30 14:29:51,0.1348
2025-07-30 14:28:51,0.1535
2025-07-30 14:27:51,0.1671
2025-07-30 14:26:51,0.1324
2025-07-30 14:25:51,0.1674
2025-07-30 14:24:51,0.1421
2025-07-30 14:23:51,0.1595
2025-07-30 14:22:51,0.1668
2025-07-30 14:21:51,0.1445
2025-07-30 14:20:51,0.1501
2025-07-30 14:19:51,0.1435
2025-07-30 14:18:51,0.1456
2025-07-30 14:17:51,0.1577
2025-07-30 14:16:51,0.1431
2025-07-30 14:15:50,0.157
2025-07-30 14:14:50,0.1581
2025-07-30 14:13:50,0.1491
2025-07-30 14:12:50,0.1713
2025-07-30 14:11:50,0.1428
2025-07-30 14:10:50,0.1588
2025-07-30 14:09:50,0.1418
2025-07-30 14:08:50,0.1251
2025-07-30 14:07:50,0.1584
2025-07-30 14:06:50,0.1459
2025-07-30 14:05:50,0.156
2025-07-30 14:04:50,0.1619
2025-07-30 14:03:50,0.1438
2025-07-30 14:02:50,0.1636
2025-07-30 14:01:50,0.1407
2025-07-30 14:00:50,0.1522
2025-07-30 13:59:50,0.1567
2025-07-30 13:58:50,0.1327
2025-07-30 13:57:50,0.1685
2025-07-30 13:56:50,0.147
2025-07-30 13:55:50,0.147
2025-07-30 13:54:50,0.1727
2025-07-30 13:53:50,0.132
2025-07-30 13:52:50,0.1626
2025-07-30 13:51:50,0.1574
2025-07-30 13:50:50,0.1296
2025-07-30 13:49:50,0.1549
2025-07-30 13:48:50,0.1536
2025-07-30 13:47:50,0.1456
2025-07-30 13:46:50,0.1685
2025-07-30 13:45:50,0.1393
2025-07-30 13:44:50,0.1532
2025-07-30 13:43:50,0.1473
2025-07-30 13:42:50,0.138
2025-07-30 13:41:50,0.1734
2025-07-30 13:40:50,0.1522
2025-07-30 13:39:50,0.1432
2025-07-30 13:38:50,0.1577
2025-07-30 13:37:50,0.1386
2025-07-30 13:36:50,0.1754
2025-07-30 13:35:50,0.1584
2025-07-30 13:34:50,0.1393
2025-07-30 13:33:50,0.1587
2025-07-30 13:32:50,0.1366
2025-07-30 13:31:51,0.1585
2025-07-30 13:30:50,0.1657
2025-07-30 13:29:50,0.1379
2025-07-30 13:28:50,0.1567
2025-07-30 13:27:50,0.1445
2025-07-30 13:26:50,0.1577
2025-07-30 13:25:50,0.1688
2025-07-30 13:24:50,0.1404
2025-07-30 13:23:50,0.1581
2025-07-30 13:22:50,0.1473
2025-07-30 13:21:50,0.1532
2025-07-30 13:20:50,0.1713
2025-07-30 13:19:50,0.1421
2025-07-30 13:18:50,0.1494
2025-07-30 13:17:50,0.1518
2025-07-30 13:16:50,0.14
2025-07-30 13:15:50,0.1588
2025-07-30 13:14:50,0.1424
2025-07-30 13:13:50,0.1435
2025-07-30 13:12:50,0.1574
2025-07-30 13:11:50,0.1498
2025-07-30 13:10:50,0.1546
2025-07-30 13:09:51,0.1591
2025-07-30 13:08:50,0.1459
2025-07-30 13:07:50,0.1372
2025-07-30 13:06:50,0.1536
2025-07-30 13:05:50,0.1456
2025-07-30 13:04:50,0.1699
2025-07-30 13:03:50,0.1442
2025-07-30 13:02:50,0.1307
2025-07-30 13:01:50,0.1556
2025-07-30 13:00:50,0.147
2025-07-30 12:59:50,0.1484
2025-07-30 12:58:50,0.1535
2025-07-30 12:57:50,0.1435
2025-07-30 12:56:50,0.1504
2025-07-30 12:55:50,0.1556
2025-07-30 12:54:50,0.1383
2025-07-30 12:53:50,0.1512
2025-07-30 12:52:50,0.1636
2025-07-30 12:51:50,0.1369
2025-07-30 12:50:50,0.1567
2025-07-30 12:49:50,0.1515
2025-07-30 12:48:50,0.1393
2025-07-30 12:47:50,0.1511
2025-07-30 12:46:50,0.1404
2025-07-30 12:45:50,0.1546
2025-07-30 12:44:50,0.1518
2025-07-30 12:43:50,0.1452
2025-07-30 12:42:50,0.1588
2025-07-30 12:41:50,0.1539
2025-07-30 12:40:50,0.1456
2025-07-30 12:39:50,0.1525
2025-07-30 12:38:50,0.1473
2025-07-30 12:37:50,0.1466
2025-07-30 12:36:50,0.148
2025-07-30 12:35:50,0.1598
2025-07-30 12:34:50,0.1543
2025-07-30 12:33:50,0.1529
2025-07-30 12:32:50,0.1619
2025-07-30 12:31:50,0.1459
2025-07-30 12:30:50,0.1473
2025-07-30 12:29:50,0.1466
2025-07-30 12:28:50,0.1515
2025-07-30 12:27:50,0.1439
2025-07-30 12:26:50,0.1612
2025-07-30 12:25:50,0.1539
2025-07-30 12:24:50,0.1435
2025-07-30 12:23:50,0.1615
2025-07-30 12:22:50,0.1376
2025-07-30 12:21:50,0.1542
2025-07-30 12:20:50,0.1602
2025-07-30 12:19:50,0.1352
2025-07-30 12:18:50,0.1445
2025-07-30 12:17:50,0.1372
2025-07-30 12:16:50,0.155
2025-07-30 12:15:50,0.1577
2025-07-30 12:14:50,0.1446
2025-07-30 12:13:50,0.1723
2025-07-30 12:12:50,0.1386
2025-07-30 12:11:50,0.1633
2025-07-30 12:10:50,0.1473
2025-07-30 12:09:50,0.1418
2025-07-30 12:08:50,0.1671
2025-07-30 12:07:50,0.1445
2025-07-30 12:06:50,0.1567
2025-07-30 12:05:50,0.1546
2025-07-30 12:04:50,0.1383
2025-07-30 12:03:50,0.1574
2025-07-30 12:02:50,0.1449
2025-07-30 12:01:50,0.1602
2025-07-30 12:00:50,0.149
2025-07-30 11:59:50,0.1536
2025-07-30 11:58:50,0.1404
2025-07-30 11:57:50,0.1535
2025-07-30 11:56:50,0.1609
2025-07-30 11:55:50,0.1588
2025-07-30 11:54:50,0.1563
2025-07-30 11:53:50,0.1505
2025-07-30 11:52:50,0.1452
2025-07-30 11:51:50,0.1435
2025-07-30 11:50:50,0.1522
2025-07-30 11:49:50,0.1581
2025-07-30 11:48:50,0.1397
2025-07-30 11:47:50,0.1452
2025-07-30 11:46:50,0.1522
2025-07-30 11:45:50,0.1449
2025-07-30 11:44:50,0.1741
2025-07-30 11:43:50,0.1508
2025-07-30 11:42:50,0.1365
2025-07-30 11:41:50,0.1581
2025-07-30 11:40:50,0.123
2025-07-30 11:39:50,0.1664
2025-07-30 11:38:50,0.1466
2025-07-30 11:37:49,0.1487
